Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
2410001C21Rik,0,0,14.23909184,7.2918836709,7.4646257493
2410002F23Rik,0,3.340370548,0,0,0
2410016O06Rik,-23.48767745,0,0,0,0
2410066E13Rik,0,-10.11345892,-55.54196972,-53.88817598,-39.78680611
2410076I21Rik,0,0,0,-67.08577897,0
2410089E03Rik,0,-10.43983316,-10.02513772,0,0
2410127L17Rik,0,2.7645216867,0,0,0
2510002D24Rik,0,0,-11.1121372,0,0
2510003E04Rik,0,-3.841819611,0,-14.05740934,-10.27102815
2510009E07Rik,0,0,-4.522858197,-3.930903608,-3.483492002
2610001A08Rik,8.5725062583,0,0,0,0
2610002J23Rik,0,0,0,0,-9.103566323
2610002M06Rik,0,0,0,-4.243193869,-7.616711649
2610005L07Rik,12.993222735,0,0,0,0
2610008E11Rik,0,0,-7.937781702,-11.46285249,0
2610015P09Rik,0,0,0,-9.707774333,-12.27652171
2610018G03Rik,8.5725062583,6.8224681347,0,0,30.120456421
2610019F03Rik,-10.49472116,0,0,0,-14.35391728
2610020H08Rik,0,-17.59536762,-7.477127,0,22.950604599
2610027H17Rik,0,0,0,0,-9.791304141
2610027K06Rik,0,-11.38932635,-26.54323657,0,0
2610027L16Rik,0,0,0,0,12.698596232
2610028H24Rik,-12.23169771,0,-9.61328281,0,0
2610029G23Rik,0,0,12.078449509,16.063606979,14.893657215
2610029I01Rik,0,0,0,16.202297614,21.256814007
2610036A22Rik,0,0,9.4736071937,13.477428123,0
2610203C22Rik,0,-14.58331754,-16.44418043,0,0
2610204G22Rik,0,-7.762015824,0,0,0
2610305D13Rik,0,2.8513112493,0,0,0
2610306M01Rik,0,-7.637999359,0,0,0
2610318N02Rik,0,0,22.416402902,21.970669929,51.876569295
2610507B11Rik,0,-9.60730492,0,0,0
2610524H06Rik,0,0,20.300537482,0,0
2610528J11Rik,0,-9.007770203,-9.710633767,0,0
2700029M09Rik,0,0,0,0,17.047894777
2700046A07Rik,0,0,-19.38360578,-23.66849205,0
2700046G09Rik,0,-21.41642758,0,0,0
2700049A03Rik,0,0,-13.13827216,0,0
2700060E02Rik,7.6095161567,0,0,0,0
2700081O15Rik,0,0,-8.319485604,0,0
2700089E24Rik,0,0,-10.45104056,-13.94559683,-16.21330728
2700094K13Rik,-10.87136136,-12.03649941,-17.66217192,0,24.871928096
2700097O09Rik,0,0,0,0,-11.63863696
2700099C18Rik,0,0,0,30.58888177,69.803653575
2810004N23Rik,0,0,0,11.943266852,-6.268319775
2810007J24Rik,-14.72762726,0,0,0,0
2810008D09Rik,0,-13.21952288,-12.57410949,-15.9781606,0
2810013P06Rik,0,-10.75042301,-11.88704077,-17.009346,-11.21852531
2810021B07Rik,-23.40844699,-7.082629232,0,0,0
2810021J22Rik,0,-3.544035455,0,0,0
2810025M15Rik,0,0,-11.51801333,0,0
2810055G20Rik,11.443271128,-4.094391564,-23.76480254,-30.71085252,-21.18390214
2810405K02Rik,0,-11.84354364,-23.86936834,0,0
2810407C02Rik,0,6.8327319267,18.292845588,0.5134352182,0
2810408A11Rik,0,0,-11.35604723,0,0
2810408B13Rik,-12.55984768,0,0,0,0
2810410L24Rik,0,-19.10214789,-13.64108169,-11.89565055,0
2810417H13Rik,0,0,0,21.082096266,47.38799679
2810442I21Rik,0,0,0,19.395299719,51.635457782
2810453I06Rik,0,0,0,-37.16664418,-12.30135126
2810474C18Rik,0,0,0,0,11.360279403
2810474O19Rik,39.03888067,26.430594687,23.135240352,0,0
2900005J15Rik,0,-8.445980155,0,0,0
